Index,SMILES,LogP,TPSA
119,C#CCCCCCF,2.1494999999999997,0.0
120,O=C(F)Cl,1.3147,17.07
121,FC(F)C(F)(F)Cl,2.0831,0.0
122,O=C(Cl)CF,0.7213,17.07
123,O=C(O)CCCCCF,1.6009,37.3
124,Fc1ccccn1,1.2207,12.89
125,FCCCCCCI,2.9513000000000016,0.0
126,OCCCCCCCCF,2.2888,20.23
127,COC(F)(F)C(F)Cl,1.76,9.23
128,CCOC(O)C(F)(F)F,0.9036000000000002,29.46
129,Cc1c(F)cccc1Cl,2.7875200000000016,0.0
130,Cc1ccc(O)c(O)c1,1.4062199999999996,40.46
131,Nc1cccnc1,0.6638000000000001,38.91
132,NC(=O)NCC(=O)O,-1.2607,92.42
133,C#CCCCCCCCF,2.9297000000000013,0.0
134,S=C(Cl)Cl,1.7489000000000001,0.0
135,O=C1NCc2ccccc21,0.93,29.1
136,c1ccc2c(c1)CCC2,2.1753,0.0
137,OCC(Cl)CO,-0.4215999999999999,40.46
138,OCCc1ccc(O)cc1,0.927,40.46
139,O=C1CCCCCCC1,2.2998000000000003,17.07
140,CNC(C)CCCC(C)C,2.4206000000000003,12.03
141,C=CC[N+](C)(C)C,0.8785999999999999,0.0
142,Cc1cc(O)cc(O)c1,1.4062199999999996,40.46
143,CC(C)CCl,1.8812,0.0
144,C=C(C)C(=C)C,2.1386000000000003,0.0
145,Cc1cccc(O)c1C,2.0090399999999997,20.23
146,Cc1ccccc1C#N,1.8667,23.79
147,C=CCN(C#N)CC=C,1.14148,27.03
148,CC(C)Cc1ccccc1,2.8851000000000013,0.0
149,CCCCC(=O)OCC,1.7397,26.3
150,Fc1ccc(F)cc1,1.9647999999999999,0.0
151,CC(C)CCI,2.4675000000000002,0.0
152,O=C1C=CC(=O)N1,-0.8010000000000002,46.17
153,COC(=O)CC(Cl)CF,1.1264,26.3
154,CCCCC[Hg]Cl,2.8312000000000017,0.0
155,COC(=O)C(C)O,-0.45980000000000015,46.53
156,Cc1cccs1,2.05652,0.0
157,COC(=O)CC(C)C,1.2055,26.3
158,C=CCOCC,1.2089,9.23
159,CC(Br)Br,2.1222,0.0
160,C=CC(C)Cl,1.7997,0.0
161,CC(O)C(C)Cl,0.9944999999999999,20.23
162,O=C(O)C(Cl)CCl,0.9172,37.3
163,Cc1cccc(C)c1O,2.00904,20.23
164,COc1ccccc1Br,2.4577,9.23
165,Brc1ccccc1Br,3.2116000000000007,0.0
166,CCCC(Br)C(=O)O,1.6345999999999998,37.3
167,O=Cc1cccc(Cl)c1,2.1525,17.07
168,CCC(C)CCO,1.4149,20.23
169,CCOC(=O)CCCCCF,2.0794,26.3
170,CCCCOC(=O)CC,1.7397,26.3
171,CCCC(C)(C)O,1.5574,20.23
172,O=C(O)CCBr,0.8560000000000001,37.3
173,CC1CCCC(C)C1,2.832600000000001,0.0
174,CC1=CCCCC1,2.5067000000000004,0.0
175,C=CCOC(C)=O,0.7355,26.3
176,CCCCCC(C)C,3.2227000000000023,0.0
177,C=CCCC#N,1.47618,23.79
178,CCCCOC=O,0.9595,26.3
179,ClC(Cl)I,2.1826,0.0
180,CCC(C)(C)I,2.610000000000001,0.0
181,CCC(C)(O)C(C)C,1.8034,20.23
182,C=CC(C)O,0.5531999999999999,20.23
183,CN(C)C(N)=O,-0.3732999999999997,46.33
184,CCC(=O)C(C)=O,0.5545,34.14
185,CC(C)(N)CO,-0.2840000000000001,46.25
186,Oc1c(Br)cccc1Br,2.9172000000000002,20.23
187,Cc1ccccc1N=O,2.392920000000001,29.43
188,ClCc1ccccc1CCl,3.164200000000002,0.0
189,CCOC(=O)c1ccco1,1.4563,39.44
190,Nc1cc(Cl)ccc1S,2.2109,26.02
191,C=CC(O)CC,0.9433,20.23
192,CCCC(O)C(C)C,1.8034,20.23
193,CCN(C#N)CC,0.80928,27.03
194,CCc1cccc(C)c1,2.5574200000000005,0.0
195,ClC=Cc1ccccc1,2.8961000000000015,0.0
196,CCCNc1ccccc1,2.5085000000000006,12.03
197,N#Cc1ccc(Cl)cc1,2.2116800000000003,23.79
198,CCOC(=O)CI,0.9845,26.3
199,CCNC(=O)NCC,0.3254000000000002,41.13
200,CC(C)CC#N,1.55608,23.79
201,CCNC(N)=O,-0.3254000000000001,55.12
202,Cc1ccc(C)o1,1.89644,13.14
203,CCC(C)NC(C)CC,2.173,12.03
204,Clc1cccnc1,1.7349999999999997,12.89
205,CCCCC(C)O,1.5574,20.23
206,CCCCCCC(C)Cl,3.584100000000003,0.0
207,CCC[Hg]CCC,2.725500000000001,0.0
208,BrCCCCCCBr,3.3366000000000025,0.0
209,C1=CC=CC=CC=C1,2.2248,0.0
210,CCCCCCCCCCCCCC,5.707400000000006,0.0
211,Cc1ccccc1N.Cl,1.9990200000000002,26.02
212,CCC(=O)OC(C)C,1.3479999999999999,26.3
213,Pc1ccccc1,1.1869999999999998,0.0
214,CCCCCOC=O,1.3496,26.3
215,CCCC=C(C=O)CC,2.3218000000000005,17.07
216,CCCCS(=O)(=O)F,1.0858,34.14
217,NC(=O)CCCCCF,1.0015999999999998,43.09
218,O=CN(O)CC(=O)O,-1.0814000000000001,77.84
219,CCCC[As](Cl)Cl,2.752300000000001,0.0
220,OCCSCCCl,0.9506999999999999,20.23
221,Cc1ccsn1,1.45152,12.89
222,C=CC1CCCCC1,2.752700000000001,0.0
223,CCCC1CCCC(=O)O1,1.8822,26.3
224,NC(=O)CS,-0.5985,43.09
225,C=CC(Cl)CCl,2.0186,0.0
226,CCCCCC(C)OO,2.4448,29.46
227,COc1ccccc1Cl,2.3486000000000002,9.23
228,Cc1cc(C)nc(N)n1,0.6756399999999999,51.8
229,CC(C)Nc1ccccc1,2.506900000000001,12.03
230,CCCN(N=O)C(N)=O,0.45850000000000024,75.75999999999999
231,CCCCCCCCC(Cl)Cl,4.540700000000004,0.0
232,OC1C2C=CC1C=C2,0.7192999999999999,20.23
233,CCN(CC)CCCl,1.567,3.24
234,FCCNCCCl,0.7843,12.03
235,O=Cc1ccncc1,0.8940999999999999,29.96
236,NC(=O)CCCO,-0.7558000000000002,63.32000000000001
237,CC(=O)CCCC(C)C,2.401700000000001,17.07
238,CCCCCCCCCCCCN,3.8660000000000023,26.02
239,ClC1=CCCCC1,2.6831000000000005,0.0
240,CCC1=NCC(C)N1,0.7866,24.39
241,O=Nc1ccc(Cl)cc1,2.7379000000000007,29.43
242,CC(=O)OCC#N,0.07308000000000003,50.09
243,O=Cc1ccc[nH]1,0.8271999999999999,32.86
244,NC(=O)CCNCCS,-0.6188000000000002,55.120000000000005
245,CC(C)CC(C)C(C)C,3.324600000000002,0.0
246,ClCCC(Cl)(Cl)Cl,2.985500000000001,0.0
247,CC(=O)CCCO,0.34790000000000004,37.3
248,NCCCN1CC1,-0.34919999999999973,29.03
249,COC(=O)CCN1CC1,-0.13490000000000024,29.310000000000002
250,N#CCCNc1ccccc1,2.01218,35.82
251,CCCCCCC(O)CO,1.3099999999999998,40.46
252,CC1C=CCC1,1.9725,0.0
253,O=Cc1ccccn1,0.8940999999999999,29.96
254,CN(C)c1ccncc1,1.1476,16.130000000000003
